file_name;label
\vacia\NOANIMAL_ZOO_1_4\34_20210115 (6488).JPG;0
\vacia\NOANIMAL_ZOO_5_6_7_9\50_20210408 (7482).JPG;0
\vacia\empty_IslandConservationCameraTraps\dominicanrepublic_cam0725abril2015a_20130813_073359_sunp5111.jpg;0
\vacia\NOANIMAL_ZOO_1_4\34_20210115 (3161).JPG;0
\vacia\empty_caltechCameraTraps\59ef8e17-23d2-11e8-a6a3-ec086b02610b.jpg;0
\vacia\NOANIMAL_ZOO_1_4\6_20201812 (8965).JPG;0
\vacia\NOANIMAL_ZOO_1_4\7_20210115 (2300).JPG;0
\vacia\empty_IslandConservationCameraTraps\dominicanrepublic_cam1826julio2015_20150707_092531_img_1279.jpg;0
\vacia\empty_caltechCameraTraps\5971fbc4-23d2-11e8-a6a3-ec086b02610b.jpg;0
\vacia\empty_IslandConservationCameraTraps\dominicanrepublic_cam2015abril2015_20150327_153552_img_2193.jpg;0
\vacia\NOANIMAL_ZOO_5_6_7_9\11_20210418 (1769).JPG;0
\vacia\Nothing_mammalWeb\11460.jpg;0
\vacia\NOANIMAL_ZOO_1_4\26_20201117 (2246).JPG;0
\vacia\vacias_1_de_2_PNC_2012_ISAAC\a39474IMAG1232.JPG;0
\vacia\Vacio__diego_2_rev_donana\9_20201025 (185).JPG;0
\caballo\HORSE_ZOO_1_4\15_20201117 (7287).JPG;1
\vacia\Nothing_mammalWeb\17146.jpg;0
\zorro\Zorro_PNC_2014_JC\c25545IM000020.JPG;1
\leporido\rabbit_CaltechCameraTrap_ME\58adc30a-23d2-11e8-a6a3-ec086b02610b.jpg;1
\vacia\empty_IslandConservationCameraTraps\dominicanrepublic_cam0425abril2015_20130823_055156_sunp4802.jpg;0
\vacia\Nothing_mammalWeb\44772.jpg;0
\zorro\zorro_PNC_2012_JC\a29409IM000128.JPG;1
\ave\OTHERSPECIES_ZOO_5_6_7_9\10_20210618 (4674).JPG;1
\vacia\empty_SnapshotMountainZebra\MTZ_S1_G04_R3_IMAG2880.JPG;0
\vacia\NOANIMAL_ZOO_5_6_7_9\9_20210418 (337).JPG;0
\leporido\2_conejo_Paco_Carro_JC\PICT1319.JPG;1
\vacia\NOANIMAL_ZOO_5_6_7_9\49_20210418 (1131).JPG;0
\tejon\Tejon_PEPE_IREC_JC\IMAG0423_(5).JPG;1
\vacia\empty_SnapshotMountainZebra\MTZ_S1_G04_R3_IMAG1791.JPG;0
\vacia\empty_IslandConservationCameraTraps\dominicanrepublic_cam1125abril2015_20150411_163800_img_0972.jpg;0
\vacia\NOANIMAL_ZOO_1_4\7_20210115 (1968).JPG;0
\vacia\vacia_alumno_1_AM_2\27_20201023 (2679).JPG;0
\vacia\NOANIMAL_ZOO_5_6_7_9\24_20210418 (10071).JPG;0
\ave\ave_PNC_2014_manuel\c19369IMAG0130.JPG;1
\vacia\NOANIMAL_ZOO_5_6_7_9\36_20210618 (6618).JPG;0
\vacia\NOANIMAL_ZOO_5_6_7_9\42_20210618 (510).JPG;0
\vacia\NOANIMAL_ZOO_5_6_7_9\2_20210417 (21209).JPG;0
\vacia\empty_IslandConservationCameraTraps\dominicanrepublic_cam2015abril2015_20150416_162121_img_5851.jpg;0
\jabali\jabali_PNM_2013-O_ISAAC\f27560IMAG0113.JPG;1
\vacia\Nothing_mammalWeb\1028.jpg;0
\vacia\vacia_Paco_Carro_JC\01130077.JPG;0
\vacia\NOANIMAL_ZOO_5_6_7_9\25_20210417 (12642).JPG;0
\vacia\empty_caltechCameraTraps\5968c263-23d2-11e8-a6a3-ec086b02610b.jpg;0
\vacia\empty_SnapshotCamdeboo\CDB_S1_B06_R1_IMAG0326.JPG;0
\vacia\vacias_PNC_2014_ISAAC\c15469IM000015.JPG;0
\cervidae\ciervo_vacías_humanos_PNC_2012_ME\a14924IM000852.JPG;1
\perro\dog_IslandConservationCameraTraps\dominicanrepublic_cam278noviembre2015_20151106_035141_img_0022.jpg;1
\vacia\empty_IslandConservationCameraTraps\dominicanrepublic_cam1826junio2015_20150506_071909_img_3533.jpg;0
\vacia\NOANIMAL_ZOO_5_6_7_9\31_20210615 (2408).JPG;0
\vacia\NOANIMAL_ZOO_5_6_7_9\5_20210319 (1674).JPG;0
\vacia\NOANIMAL_ZOO_1_4\28_20201019 (1959).JPG;0
\vacia\empty_SnapshotMountainZebra\MTZ_S1_D05_R1_IMAG0176.JPG;0
\vacia\vacias_PNC_2014_ISAAC\c6656IM000004.JPG;0
\vacia\empty_IslandConservationCameraTraps\chile_piedra012013_2501201395600.jpg;0
\vacia\empty_SnapshotKaroo\KAR_S1_C03_R1_IMAG0744.JPG;0
\vacia\empty_IslandConservationCameraTraps\dominicanrepublic_cam0425abril2015_20130824_055527_sunp5270.jpg;0
\vacia\empty_IslandConservationCameraTraps\dominicanrepublic_cam1826junio2015_20150505_073754_img_1243.jpg;0
\vacia\NOANIMAL_ZOO_5_6_7_9\25_20210417 (5642).JPG;0
\jabali\WILDBOAR_ZOO_5_6_7_9\20_20210219 (2116) (2021_04_15 06_16_22 UTC).JPG;1
\vacia\empty_caltechCameraTraps\5957c252-23d2-11e8-a6a3-ec086b02610b.jpg;0
\tejon\Badger_mammalWeb\20908.jpg;1
\vacia\NOANIMAL_ZOO_1_4\34_20210115 (8837).JPG;0
\vacia\empty_IslandConservationCameraTraps\palau_cam04a12132018_20180824_104709_rcnx0004.jpg;0
\zorro\Zorro_PNC_2014_JC\c5404IM000082.JPG;1
\vacia\vacias_ME_CASA\IMG_0493_copy_1.JPG;0
\humanovehiculo\humano_alumno_AM_2\13_20201025 (70).JPG;1
\vacia\NOANIMAL_ZOO_1_4\37_20201215 (2259).JPG;0
\vacia\SnampshotEnonkishu\ENO_S1_D01_R1_IMAG1551.JPG;0
\gato_domestico\gato_WellingtonCameraTraps_SS\021116224348009c1161.JPG;1
\vacia\vacias_2_de_2_PNC_2012_ISAAC\a1792IM000761.JPG;0
\vacia\empty_IslandConservationCameraTraps\dominicanrepublic_cam0527septiembre2015_20130730_091556_sunp0116.jpg;0
\vaca\COW_ZOO_5_6_7_9\21_20210418 (1498).JPG;1
\vacia\empty_caltechCameraTraps\59641d2d-23d2-11e8-a6a3-ec086b02610b.jpg;0
\mapache\raccoon_CaltechCameraTrap_ME\58bb8b2f-23d2-11e8-a6a3-ec086b02610b.jpg;1
\vacia\NOANIMAL_ZOO_1_4\2_20210115 (3170).JPG;0
\vacia\NOANIMAL_ZOO_1_4\33_20201120 (167).JPG;0
\vacia\NOANIMAL_ZOO_5_6_7_9\39_20210417 (4225).JPG;0
\vacia\empty_IslandConservationCameraTraps\dominicanrepublic_cam1826junio2015_20150505_121421_img_2818.jpg;0
\vacia\vacias_1_de_2_PNC_2012_ISAAC\a42692IM000895.JPG;0
\vacia\vacias_PNC_2013-O_RED_ME\b18964IMAG0021.JPG;0
\vacia\vacias_PNM_2013-O_ISAAC\f3389IMAG0266.JPG;0
\vacia\SnampshotEnonkishu\ENO_S1_B03_R1_IMAG1083.JPG;0
\cervidae\ciervo_PNC_2014_ISAAC\c23605IM000057.JPG;1
\vacia\empty_IslandConservationCameraTraps\dominicanrepublic_cam1725abril2015_20150410_100404_img_0290.jpg;0
\vacia\NOANIMAL_ZOO_1_4\34_20210115 (6903).JPG;0
\vacia\vacia_buscar_cab_isaac_sin_contar\9_20201118 (114).JPG;0
\vacia\Nothing_mammalWeb\34273.jpg;0
\cervidae\CERVIDREDORFALLOWDEER_ZOO_1_4\18_20201024 (533).JPG;1
\ave\rooster_IslandConservationCameraTraps\palau_cam09a12132018_20181010_073923_rcnx0566.jpg;1
\vacia\vacia_javi_2_JC\17_20201026 (626).JPG;0
\vacia\empty_SnapshotMountainZebra\MTZ_S1_C06_R1_IMAG2572.JPG;0
\vacia\NOANIMAL_ZOO_5_6_7_9\19_20210319 (2557).JPG;0
\caballo\caballos_simone\4_20201220 (7364).JPG;1
\caballo\HORSE_ZOO_1_4\2_20201117 (288).JPG;1
\cervidae\CERVIDREDORFALLOWDEER_ZOO_5_6_7_9\19_20210319 (1896).JPG;1
\vacia\empty_IslandConservationCameraTraps\dominicanrepublic_cam1826junio2015_20150505_142600_img_3258.jpg;0
\vacia\empty_SnapshotMountainZebra\MTZ_S1_D05_R1_IMAG0114.JPG;0
\leporido\rabbit_IslandConservationCameraTraps\chile_piedra012013_24032013194324.jpg;1
\vacia\NOANIMAL_ZOO_1_4\10_20201019 (2092).JPG;0
\meloncillo\Meloncillo_PEPE_IREC_JC\IMAG0006_(6).JPG;1
\vacia\empty_IslandConservationCameraTraps\dominicanrepublic_cam2818mayo2017_20170429_135412_img_0039.jpg;0
\zorro\zorro_PNC_2014_manuel\c358IM000012.JPG;1
\vacia\NOANIMAL_ZOO_1_4\26_20201020 (16984).JPG;0
\humanovehiculo\humanovehiculo_PNM_2013-I_ME\e3886IM000007.JPG;1
\vacia\NOANIMAL_ZOO_1_4\9_20210114 (1053).JPG;0
\vacia\vacia_alumno_AM_2\37_20201024 (814).JPG;0
\cervidae\deer_CaltechCameraTrap\59e2a4f1-23d2-11e8-a6a3-ec086b02610b.jpg;1
\vacia\NOANIMAL_ZOO_1_4\26_20201020 (5165).JPG;0
\cervidae\CERVIDREDORFALLOWDEER_ZOO_1_4\17_20201225 (61).JPG;1
\vacia\NOANIMAL_ZOO_5_6_7_9\2_20210618 (17722).JPG;0
\cervidae\ciervo_Javi_3_JC\21_20201025 (4295).JPG;1
\vacia\empty_IslandConservationCameraTraps\palau_cam13a12132018_20181025_120000_rcnx0972.jpg;0
\vacia\empty_IslandConservationCameraTraps\dominicanrepublic_cam2015abril2015_20150409_145055_img_4318.jpg;0
\vacia\NOANIMAL_ZOO_1_4\34_20210115 (6273).JPG;0
\vacia\NOANIMAL_ZOO_1_4\26_20201020 (10674).JPG;0
\vacia\NOANIMAL_ZOO_1_4\21_20201119 (2245).JPG;0
\vacia\vacias_2_de_2_PNC_2012_ISAAC\a46844IM000833.JPG;0
\ave\raven_IslandConservationCameraTraps\dominicanrepublic_cam0617abril2015_20130727_044332_sunp0047.jpg;1
\vacia\NOANIMAL_ZOO_1_4\6_20201812 (13806).JPG;0
\zorro\zorro_PNC_2014_manuel\c18990IMAG0013.JPG;1
\leporido\rabbit_CaltechCameraTrap_ME\58678b90-23d2-11e8-a6a3-ec086b02610b.jpg;1
\vacia\NOANIMAL_ZOO_1_4\37_20201116 (11018).JPG;0
\vacia\Nothing_mammalWeb\18551.jpg;0
\vacia\NOANIMAL_ZOO_1_4\34_20210115 (1510).JPG;0
\vacia\NOANIMAL_ZOO_5_6_7_9\47_20210615 (1074).JPG;0
\vacia\NOANIMAL_ZOO_5_6_7_9\50_20210408 (19211).JPG;0
\vacia\NOANIMAL_ZOO_5_6_7_9\35_20210218 (1766) (2021_04_15 06_16_22 UTC).JPG;0
\ave\ave_Soraya_Padilla_Alumno_1_TH\STC_0172_frame120.jpg;1
\vacia\NOANIMAL_ZOO_1_4\43_20201217 (737).JPG;0
\vacia\NOANIMAL_ZOO_5_6_7_9\15_20210219 (10674) (2021_04_15 06_16_22 UTC).JPG;0
\cervidae\CERVIDREDORFALLOWDEER_ZOO_1_4\31_20201117 (163).JPG;1
\vacia\empty_IslandConservationCameraTraps\puertorico_25_20141118_234640_img_0013.jpg;0
\ave\petrel_chick_IslandConservationCameraTraps\ecuador2_ic1618_20181108_021830_img_0150.jpg;1
\vacia\NOANIMAL_ZOO_5_6_7_9\25_20210319 (9848).JPG;0
\vacia\NOANIMAL_ZOO_5_6_7_9\25_20210417 (8987).JPG;0
\vacia\NOANIMAL_ZOO_1_4\15_20210117 (6199).JPG;0
\vacia\empty_IslandConservationCameraTraps\dominicanrepublic_cam0425abril2015_20130812_052758_sunp1947.jpg;0
\vacia\SnampshotEnonkishu\ENO_S1_B03_R1_IMAG0743.JPG;0
\vacia\NOANIMAL_ZOO_1_4\26_20201020 (10848).JPG;0
\vacia\NOANIMAL_ZOO_5_6_7_9\41_20210218 (642) (2021_04_15 06_16_22 UTC).JPG;0
\jabali\jabali_Saul Martin_FRAMES_SIN_REPETIDOS_REVISADOS_DIEGO\IMAG0020_frame500.jpg;1
\vacia\NOANIMAL_ZOO_5_6_7_9\32_20210615 (17426).JPG;0
\vacia\NOANIMAL_ZOO_1_4\2_20210115 (11398).JPG;0
\vacia\vacia_alumno_2_AM\Musniv 15_frame000.jpg;0
\vacia\NOANIMAL_ZOO_1_4\26_20201020 (14731).JPG;0
\vacia\NOANIMAL_ZOO_1_4\15_20201117 (8902).JPG;0
\vacia\NOANIMAL_ZOO_1_4\7_20210115 (3074).JPG;0
\vacia\vacias_2_de_2_PNC_2012_ISAAC\a8948IM000051.JPG;0
\vacia\vacias_2_de_2_PNC_2012_ISAAC\a834IM000177.JPG;0
\leporido\LEPORIDRABBITORHARE_ZOO_1_4\6_20201023 (2737).JPG;1
\vacia\NOANIMAL_ZOO_1_4\6_20201116 (4419).JPG;0
\vacia\Nothing_mammalWeb\697.jpg;0
\vacia\NOANIMAL_ZOO_1_4\13_20201219 (204).JPG;0
\vacia\empty_SnapshotMountainZebra\MTZ_S1_F05_R1_IMAG0345.JPG;0
\vacia\vacias_PNM_2012_ISAAC\d5049IM000140.JPG;0
\ave\ave_ave_WellingtonCameraTraps_SS\071116061208002a5751.JPG;1
\vacia\NOANIMAL_ZOO_1_4\40_20201117 (467).JPG;0
\vacia\empty_SnapshotMountainZebra\MTZ_S1_D07_R1_IMAG1342.JPG;0
\vacia\vacia_Paco_Carro_JC\01140928.JPG;0
\vacia\NOANIMAL_ZOO_1_4\37_20201116 (10987).JPG;0
\cervidae\CERVIDREDORFALLOWDEER_ZOO_1_4\40_20201117 (900).JPG;1
\vacia\empty_IslandConservationCameraTraps\micronesia_cam16_cam16june2019_20190611064503_rcnx0874.jpg;0
\humanovehiculo\humanovehiculo_alumno_1_AM_2\25_20201024 (1265).JPG;1
\vacia\NOANIMAL_ZOO_5_6_7_9\2_20210618 (7618).JPG;0
\vacia\empty_IslandConservationCameraTraps\dominicanrepublic_cam1425abril2015_20150421_141502_img_2144.jpg;0
\vaca\cow_CaltechCameraTrap\58b4aba6-23d2-11e8-a6a3-ec086b02610b.jpg;1
\cervidae\Cervidae1___diego_1_rev_donana\26_20201020 (16194).JPG;1
\vacia\NOANIMAL_ZOO_5_6_7_9\24_20210418 (18572).JPG;0
\vacia\vacias_2_de_2_PNC_2012_ISAAC\a472IM000141.JPG;0
\vacia\NOANIMAL_ZOO_5_6_7_9\24_20210318 (8161).JPG;0
\vacia\vacias_2_de_2_PNC_2012_ISAAC\a41445IM000726.JPG;0
\vacia\NOANIMAL_ZOO_5_6_7_9\11_20210218 (666) (2021_04_15 06_16_22 UTC).JPG;0
\jabali\WILDBOAR_ZOO_1_4\31_20210115 (136).JPG;1
\vacia\empty_caltechCameraTraps\598ace02-23d2-11e8-a6a3-ec086b02610b.jpg;0
\vacia\NOANIMAL_ZOO_5_6_7_9\13_20210218 (185) (2021_04_15 06_16_22 UTC).JPG;0
\vacia\vacia_alumno_TH_3_TH_JC\26_20201020 (9663).JPG;0
\vacia\empty_SnapshotMountainZebra\MTZ_S1_D06_R1_IMAG1571.JPG;0
\vacia\NOANIMAL_ZOO_5_6_7_9\2_20210417 (20130).JPG;0
\vacia\NOANIMAL_ZOO_1_4\6_20201116 (4346).JPG;0
\vacia\empty_IslandConservationCameraTraps\dominicanrepublic_cam1826junio2015_20150504_134518_img_0488.jpg;0
\vacia\empty_IslandConservationCameraTraps\chile_frances022013_1006201385849.jpg;0
\vacia\vacia_javi_2_JC\27_20201023 (6243).JPG;0
\vacia\NOANIMAL_ZOO_5_6_7_9\20_20210319 (6101).JPG;0
\zorro\zorro_PNC_2014_manuel\c28751IM000020.JPG;1
\vacia\NOANIMAL_ZOO_5_6_7_9\50_20210417 (25294).JPG;0
\vacia\NOANIMAL_ZOO_1_4\34_20210115 (1258).JPG;0
\vacia\NOANIMAL_ZOO_5_6_7_9\47_20210404 (189).JPG;0
\vacia\empty_IslandConservationCameraTraps\micronesia_cam04_cam04june2019_20190701040503_rcnx2314.jpg;0
\vacia\NOANIMAL_ZOO_1_4\28_20201019 (329).JPG;0
\vacia\vacias_PNC_2014_ISAAC\c7286IM000088.JPG;0
\vacia\NOANIMAL_ZOO_5_6_7_9\24_20210615 (16292).JPG;0
\jabali\jabali_PNM_2013-O_ISAAC\f14558IMAG0482.JPG;1
\vacia\NOANIMAL_ZOO_5_6_7_9\24_20210615 (9137).JPG;0
\jabali\WILDBOAR_ZOO_1_4\37_20210115 (613).JPG;1
\vacia\empty_caltechCameraTraps\5a015d3b-23d2-11e8-a6a3-ec086b02610b.jpg;0
\vacia\empty_caltechCameraTraps\59ac6d47-23d2-11e8-a6a3-ec086b02610b.jpg;0
\vacia\empty_SnapshotMountainZebra\MTZ_S1_E06_R3_IMAG0261.JPG;0
\vacia\vacias_PNC_2014_ISAAC\c596IM000007.JPG;0
\ave\bird_CaltechCameraTrap\5a1e509d-23d2-11e8-a6a3-ec086b02610b.jpg;1
\leporido\rabbit_IslandConservationCameraTraps\chile_frances022013_26042013143302.jpg;1
\jabali\WILDBOAR_ZOO_5_6_7_9\12_20210219 (163) (2021_04_15 06_16_22 UTC).JPG;1
\vacia\NOANIMAL_ZOO_5_6_7_9\49_20210418 (5187).JPG;0
\vacia\NOANIMAL_ZOO_5_6_7_9\2_20210618 (16824).JPG;0
\vacia\NOANIMAL_ZOO_5_6_7_9\24_20210615 (7263).JPG;0
\vacia\empty_SnapshotMountainZebra\MTZ_S1_G04_R3_IMAG3420.JPG;0
\vacia\vacia_Soraya_Padilla_Alumno_1_TH\STC_0058_frame010.jpg;0
\vacia\empty_SnapshotMountainZebra\MTZ_S1_D05_R1_IMAG0457.JPG;0
\vacia\vacia_Paco_Carro_JC\IMG_2204.JPG;0
\vacia\Nothing_mammalWeb\24338.jpg;0
\vacia\vacias_1_de_2_PNC_2012_ISAAC\a37260IM000374.JPG;0
\vacia\empty_SnapshotMountainZebra\MTZ_S1_E06_R3_IMAG1469.JPG;0
\vacia\NOANIMAL_ZOO_5_6_7_9\25_20210319 (7753).JPG;0
\vacia\NOANIMAL_ZOO_5_6_7_9\25_20210417 (12615).JPG;0
\vacia\NOANIMAL_ZOO_1_4\7_20210115 (2547).JPG;0
\vacia\vacia_Paco_Carro_JC\MDGC0527.JPG;0
\vacia\NOANIMAL_ZOO_5_6_7_9\36_20210319 (11183).JPG;0
\vacia\SnampshotEnonkishu\ENO_S1_D06_R1_IMAG0709.JPG;0
\vacia\empty_SnapshotMountainZebra\MTZ_S1_D06_R1_IMAG0874.JPG;0
\vacia\empty_IslandConservationCameraTraps\micronesia_cam04_cam04june2019_20190611065003_rcnx0902.jpg;0
\cervidae\CERVIDREDORFALLOWDEER_ZOO_5_6_7_9\24_20210318 (6328).JPG;1
\vacia\vacia_javi_2_JC\27_20201023 (6039).JPG;0
\vacia\NOANIMAL_ZOO_5_6_7_9\24_20210318 (4392).JPG;0
\jabali\WILDBOAR_ZOO_1_4\22_20210115 (801).JPG;1
\micromamiferos\micromamiferos_Paco_Carro_JC\IMG_0567.JPG;1
\ave\bird_CaltechCameraTrap\594e77e8-23d2-11e8-a6a3-ec086b02610b.jpg;1
\cervidae\ciervo_PNM_2013-O_ISAAC\f29398IMAG0976.JPG;1
\vacia\empty_caltechCameraTraps\59ef8c87-23d2-11e8-a6a3-ec086b02610b.jpg;0
\vacia\empty_SnapshotCamdeboo\CDB_S1_B06_R2_IMAG0131.JPG;0
\vacia\empty_SnapshotMountainZebra\MTZ_S1_D05_R1_IMAG1392.JPG;0
\cervidae\CERVIDREDORFALLOWDEER_ZOO_1_4\20_20201024 (741).JPG;1
\vacia\SnampshotEnonkishu\ENO_S1_D06_R1_IMAG0531.JPG;0
\vacia\vacias_2_de_2_PNC_2012_ISAAC\a4452IM000295.JPG;0
\vacia\empty_SnapshotMountainZebra\MTZ_S1_C06_R3_IMAG1265.JPG;0
\jabali\Jabali_PNC_2014_JC\c29217IM000035.JPG;1
\vacia\empty_IslandConservationCameraTraps\dominicanrepublic_cam0425abril2015_20130823_045618_sunp4758.jpg;0
\vacia\NOANIMAL_ZOO_1_4\21_20210114 (1245).JPG;0
\caballo\HORSE_ZOO_1_4\15_20210117 (2088).JPG;1
\vacia\vacias_1_de_2_PNC_2012_ISAAC\a40950IM000219.JPG;0
\vacia\empty_SnapshotMountainZebra\MTZ_S1_D06_R1_IMAG2929.JPG;0
\zorro\Zorro_PNC_2013-O_ME\b1105IM000142.JPG;1
\vacia\vacia_Paco_Carro_JC\IMG_0661.JPG;0
\vacia\NOANIMAL_ZOO_5_6_7_9\50_20210408 (19859).JPG;0
\vacia\NOANIMAL_ZOO_5_6_7_9\49_20210418 (38).JPG;0
\ave\birdother_SnapshotKgalagai\KGA_S1_A04_R1_IMAG0106.JPG;1
\vacia\vacia_alumno_AM_2\10_20201019 (7008).JPG;0
\humanovehiculo\humanovehiculo_PNC_2013-O_RED_ISAAC\b13818IM000036.JPG;1
\vacia\empty_IslandConservationCameraTraps\ecuador1_ic1611_20150101_000002_img_0011.jpg;0
\vacia\empty_SnapshotMountainZebra\MTZ_S1_D07_R1_IMAG0812.JPG;0
\vacia\empty_SnapshotMountainZebra\MTZ_S1_D06_R1_IMAG0865.JPG;0
\vacia\NOANIMAL_ZOO_1_4\7_20210115 (552).JPG;0
\vacia\NOANIMAL_ZOO_5_6_7_9\50_20210417 (24333).JPG;0
