file_name;label
\jabali\jabali_Saul Martin_FRAMES_SIN_REPETIDOS_REVISADOS_DIEGO\IMAG0020_frame500.jpg;1
\vacia\vacia_Paco_Carro_JC\IMG_2204.JPG;0
\vacia\empty_SnapshotMountainZebra\MTZ_S1_C06_R3_IMAG0736.JPG;0
\vacia\empty_SnapshotMountainZebra\MTZ_S1_D05_R1_IMAG0929.JPG;0
\vacia\vacias_1_de_2_PNC_2012_ISAAC\a39474IMAG1232.JPG;0
\vacia\vacias_PNM_2013-O_ISAAC\f3389IMAG0266.JPG;0
\gato_domestico\gato_WellingtonCameraTraps_SS\0404151250120745L091.JPG;1
\vacia\NOANIMAL_ZOO_1_4\13_20201219 (407).JPG;0
\vacia\empty_IslandConservationCameraTraps\micronesia_cam16_cam16june2019_20190615173003_rcnx2404.jpg;0
\vacia\Vacio__diego_2_rev_donana\9_20201025 (185).JPG;0
\vacia\NOANIMAL_ZOO_5_6_7_9\50_20210408 (19211).JPG;0
\vacia\NOANIMAL_ZOO_5_6_7_9\36_20210618 (7952).JPG;0
\vacia\empty_caltechCameraTraps\598f774d-23d2-11e8-a6a3-ec086b02610b.jpg;0
\cervidae\Ciervo_PNC_2012_JC\a14725IM000641.JPG;1
\vacia\NOANIMAL_ZOO_5_6_7_9\49_20210418 (1131).JPG;0
\vacia\empty_caltechCameraTraps\59d5b51d-23d2-11e8-a6a3-ec086b02610b.jpg;0
\vacia\NOANIMAL_ZOO_5_6_7_9\50_20210408 (23622).JPG;0
\vacia\NOANIMAL_ZOO_5_6_7_9\25_20210417 (13790).JPG;0
\cervidae\deer_CaltechCameraTrap\5a2e13c3-23d2-11e8-a6a3-ec086b02610b.jpg;1
\vacia\NOANIMAL_ZOO_5_6_7_9\39_20210417 (4225).JPG;0
\vacia\NOANIMAL_ZOO_5_6_7_9\50_20210417 (25294).JPG;0
\cervidae\CERVIDREDORFALLOWDEER_ZOO_1_4\37_20210115 (1175).JPG;1
\jabali\Jabali_PNC_2014_JC\c29217IM000035.JPG;1
\micromamiferos\rat_IslandConservationCameraTraps\micronesia_cam09_cam09june2019_20190619162753_rcnx0433.jpg;1
\vacia\NOANIMAL_ZOO_5_6_7_9\13_20210218 (1384) (2021_04_15 06_16_22 UTC).JPG;0
\vacia\NOANIMAL_ZOO_5_6_7_9\24_20210615 (9616).JPG;0
\vacia\NOANIMAL_ZOO_1_4\26_20201020 (11843).JPG;0
\vacia\NOANIMAL_ZOO_5_6_7_9\24_20210318 (16943).JPG;0
\vacia\NOANIMAL_ZOO_5_6_7_9\36_20210618 (5354).JPG;0
\lince\Lince_a_Linces2_Leo_JC\lince130 (306).JPG;1
\vacia\NOANIMAL_ZOO_5_6_7_9\11_20210418 (3137).JPG;0
\vacia\NOANIMAL_ZOO_5_6_7_9\2_20210618 (7618).JPG;0
\vacia\empty_IslandConservationCameraTraps\ecuador1_ic1611_20150101_000004_img_0879.jpg;0
\vacia\empty_SnapshotMountainZebra\MTZ_S1_E06_R3_IMAG1741.JPG;0
\vacia\vacia_Paco_Carro_JC\IMG_1552.JPG;0
\vacia\NOANIMAL_ZOO_1_4\37_20201116 (11018).JPG;0
\jabali\jabali_alumno_2_2_TH_JC\29_20201023 (556).JPG;1
\vacia\NOANIMAL_ZOO_5_6_7_9\2_20210618 (22504).JPG;0
\micromamiferos\micromamiferos_Paco_Carro_JC\PICT0863.JPG;1
