file_name;label
\vaca\COW_ZOO_5_6_7_9\21_20200113 (2375) (2021_04_15 06_16_22 UTC).JPG;1
\vacia\empty_IslandConservationCameraTraps\dominicanrepublic_cam0425abril2015_20130820_071532_sunp3401.jpg;0
\vacia\NOANIMAL_ZOO_5_6_7_9\25_20210417 (4650).JPG;0
\zorro\Zorro_PNC_2013-O_ME\b1105IM000142.JPG;1
\vacia\vacias_PNM_2012_ME\d14562FILE0006.JPG;0
\vacia\NOANIMAL_ZOO_5_6_7_9\24_20210418 (18572).JPG;0
\vacia\NOANIMAL_ZOO_1_4\7_20210115 (1027).JPG;0
\vacia\vacia_vacías_humanos_PNC_2012_ME\a37794IM000923.JPG;0
\vacia\vacia_alumno_2_AM\Marfoi 30_frame160.jpg;0
\ave\ave_Soraya_Padilla_Alumno_1_TH\STC_0172_frame120.jpg;1
\cervidae\ciervo_PNC_2013-O_RED_ISAAC\b7083FILE0229.JPG;1
\vacia\empty_IslandConservationCameraTraps\dominicanrepublic_cam11618mayo2017_20170320_081204_img_0030.jpg;0
\vacia\NOANIMAL_ZOO_5_6_7_9\24_20210418 (14984).JPG;0
\vacia\empty_SnapshotMountainZebra\MTZ_S1_D07_R1_IMAG0874.JPG;0
\jabali\WILDBOAR_ZOO_5_6_7_9\12_20210219 (163) (2021_04_15 06_16_22 UTC).JPG;1
\vacia\vacia_alumno_2_AM_JC\DSCF0180_frame204.jpg;0
\vacia\empty_SnapshotMountainZebra\MTZ_S1_D06_R1_IMAG0865.JPG;0
\vacia\vacia_alumno_AM_2\10_20201019 (7008).JPG;0
\cervidae\CERVIDREDORFALLOWDEER_ZOO_5_6_7_9\10_20210417 (246).JPG;1
\ave\ave_PNC_2014_manuel\c19369IMAG0130.JPG;1
\vacia\vacia_alumno_1_AM\10_20201019 (228).JPG;0
\zorro\Zorro_PNC_2014_JC\c5404IM000082.JPG;1
\vacia\NOANIMAL_ZOO_1_4\34_20210115 (2784).JPG;0
\vacia\empty_IslandConservationCameraTraps\puertorico_26_20150216_171524_ek000575.jpg;0
\vaca\COW_ZOO_5_6_7_9\17_20210318 (997).JPG;1
\vacia\empty_IslandConservationCameraTraps\dominicanrepublic_cam1425abril2015_20150421_141502_img_2144.jpg;0
\cervidae\Ciervo_PNC_2014_JC\c22847IM000025.JPG;1
\vacia\NOANIMAL_ZOO_1_4\26_20201020 (18296).JPG;0
\vacia\NOANIMAL_ZOO_5_6_7_9\2_20210417 (15474).JPG;0
\vacia\NOANIMAL_ZOO_5_6_7_9\2_20210417 (5790).JPG;0
\vacia\empty_SnapshotMountainZebra\MTZ_S1_D06_R1_IMAG1320.JPG;0
\zorro\zorro_PNC_2012_JC\a4033IM000032.JPG;1
\vacia\NOANIMAL_ZOO_1_4\36_20201117 (820).JPG;0
\vacia\vacia_javi_2_JC\27_20201023 (8279).JPG;0
\vacia\NOANIMAL_ZOO_1_4\10_20201117 (1925).JPG;0
\vacia\empty_IslandConservationCameraTraps\dominicanrepublic_cam0725abril2015a_20130813_075510_sunp5265.jpg;0
\vacia\NOANIMAL_ZOO_5_6_7_9\2_20210319 (8937).JPG;0
\ave\ave_ave_WellingtonCameraTraps_SS\041116163346044a1131.JPG;1
\vacia\empty_IslandConservationCameraTraps\dominicanrepublic_cam1826junio2015_20150505_070943_img_1104.jpg;0
\vacia\NOANIMAL_ZOO_1_4\37_20201116 (5073).JPG;0
\vacia\empty_SnapshotKaroo\KAR_S1_E02_R1_IMAG2748.JPG;0
\vacia\vacia_alumno_2_2_TH_JC\27_20201023 (7998).JPG;0
\vacia\NOANIMAL_ZOO_1_4\21_20201119 (4343).JPG;0
\vacia\NOANIMAL_ZOO_5_6_7_9\36_20210618 (7707).JPG;0
\vacia\NOANIMAL_ZOO_5_6_7_9\24_20210418 (14308).JPG;0
\cervidae\CERVIDREDORFALLOWDEER_ZOO_1_4\21_20201025 (2015).JPG;1
\jabali\jabali_Paco_Carro_camarasliron_4_2_PASADAS_POR_LA_RED_JC\MDGC0675.JPG;1
\vacia\NOANIMAL_ZOO_5_6_7_9\50_20210417 (21349).JPG;0
\vacia\empty_IslandConservationCameraTraps\dominicanrepublic_cam1725abril2015_20150408_082737_img_0181.jpg;0
